Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,1815,37069140000,639.41,454.65,0.38,7720680.26,99.67%
delete,delete,888,0,136.22,136.22,0.18,0,100%
read,read,4670,99849164000,451.94,169.83,0.97,20797922.9,99.68%
list,list,799,0,175.04,175.04,0.17,0,99.75%
write,write,1548,32736660000,649.32,453.05,0.32,6818830.56,99.81%
delete,delete,808,0,397.26,397.26,0.17,0,100%
read,read,4501,95259748000,461.12,173.44,0.94,19837593.69,99.76%
list,list,752,0,124.93,124.93,0.16,0,100%
write,write,1517,31555760000,712.61,507.01,0.32,6571404.59,99.35%
delete,delete,811,0,282.96,282.96,0.17,0,100%
read,read,4753,102278920000,472.38,173.73,0.99,21306532.54,99.79%
list,list,823,0,149.08,149.08,0.17,0,99.88%
write,write,1607,34442708000,636.36,437.49,0.33,7175033.51,99.57%
delete,delete,828,0,359.23,359.23,0.17,0,100%
read,read,4854,103461660000,459.03,167.4,1.01,21548636.01,99.69%
list,list,816,0,107.34,107.34,0.17,0,99.76%
write,write,1612,35687596000,659.52,456.46,0.34,7432888.82,99.75%
delete,delete,853,0,137.14,137.14,0.18,0,100%
read,read,4750,99984148000,446.86,163.93,0.99,20822539.06,99.66%
list,list,807,0,151.25,151.25,0.17,0,99.88%
write,write,1483,29918584000,632.9,427.54,0.31,6230796.54,99.73%
delete,delete,759,0,420.06,420.06,0.16,0,100%
read,read,5147,110474576000,468.53,173.97,1.07,23008351.35,99.71%
list,list,865,0,139.32,139.32,0.18,0,99.77%
write,write,1641,33852996000,608.56,429.15,0.34,7050505.69,99.94%
delete,delete,824,0,190.96,190.96,0.17,0,100%
read,read,4846,101233300000,440.49,168.37,1.01,21088851.73,99.73%
list,list,809,0,74.01,74.01,0.17,0,100%
write,write,1720,35494012000,664.44,446.92,0.36,7394088.27,99.59%
delete,delete,780,0,253.56,253.56,0.16,0,100%
read,read,5033,104379404000,429.54,165.37,1.05,21736747.29,99.78%
list,list,836,0,131.2,131.2,0.17,0,99.64%
write,write,1677,35163900000,607.31,428.69,0.35,7322793.37,99.64%
delete,delete,848,0,298.92,298.92,0.18,0,100%
read,read,4914,102282744000,467.06,187.39,1.02,21300491.31,99.74%
list,list,788,0,149.48,149.48,0.16,0,99.62%
write,write,1646,34705472000,628.77,434.03,0.34,7227451.82,99.88%
delete,delete,804,0,281.84,281.84,0.17,0,100%
read,read,4906,103852300000,451.66,160.1,1.02,21627024.25,99.7%
list,list,854,0,92.08,92.08,0.18,0,99.88%
write,write,1637,34247072000,643.84,446.77,0.34,7131881.11,99.7%
delete,delete,826,0,190.12,190.12,0.17,0,100%
