Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,5585,119071760000,522.87,132.47,1.16,24797808.28,100%
list,list,996,0,102.44,102.44,0.21,0,100%
write,write,1868,37724012000,917.44,683.47,0.39,7856378.52,100%
delete,delete,957,0,68.26,68.26,0.2,0,100%
read,read,5640,115932444000,512.68,135.55,1.17,24143996.23,100%
list,list,931,0,115.46,115.46,0.19,0,100%
write,write,1876,38906080000,926.15,699.4,0.39,8102548.49,100%
delete,delete,937,0,69.26,69.26,0.2,0,100%
read,read,5392,111794836000,523.04,142.15,1.12,23283984,100%
list,list,899,0,100.59,100.59,0.19,0,100%
write,write,1861,41329624000,987.27,745.18,0.39,8607895.84,100%
delete,delete,941,0,56.34,56.34,0.2,0,100%
read,read,5696,121565780000,504.1,133.08,1.19,25316757.85,100%
list,list,868,0,96.37,96.37,0.18,0,100%
write,write,1924,39888952000,926.8,709.72,0.4,8307098.75,100%
delete,delete,915,0,69.17,69.17,0.19,0,100%
read,read,5400,116641596000,536.11,138.53,1.12,24296399.52,100%
list,list,899,0,127.72,127.72,0.19,0,100%
write,write,1803,39622200000,963.24,729.07,0.38,8253289,100%
delete,delete,917,0,58.8,58.8,0.19,0,100%
read,read,5536,118282120000,516.62,135.98,1.15,24641856.78,100%
list,list,949,0,98.15,98.15,0.2,0,100%
write,write,1897,39495652000,938.23,705.08,0.4,8228176.84,100%
delete,delete,972,0,68.67,68.67,0.2,0,100%
read,read,5591,116977520000,517.19,140.49,1.16,24366666.74,100%
list,list,939,0,101.14,101.14,0.2,0,100%
write,write,1813,40672072000,974.24,714.79,0.38,8472079.29,100%
delete,delete,964,0,49.24,49.24,0.2,0,100%
read,read,5793,122222508000,503.1,132.67,1.21,25456637.13,100%
list,list,970,0,101.49,101.49,0.2,0,100%
write,write,1904,38776748000,906.09,681.47,0.4,8076463.32,100%
delete,delete,1045,0,60.03,60.03,0.22,0,100%
read,read,5827,120652396000,495.05,135.04,1.21,25129795.68,100%
